horizon_name,model_name,row_count,brier_score,brier_delta_vs_raw,brier_score_ci_lower,brier_score_ci_upper,brier_delta_ci_lower,brier_delta_ci_upper,brier_delta_p_value,brier_delta_q_value,log_loss,log_loss_delta_vs_raw,log_loss_ci_lower,log_loss_ci_upper,log_loss_delta_ci_lower,log_loss_delta_ci_upper,log_loss_delta_p_value,log_loss_delta_q_value,expected_calibration_error,ece_delta_vs_raw,ece_ci_lower,ece_ci_upper,ece_delta_ci_lower,ece_delta_ci_upper,ece_delta_p_value,ece_delta_q_value,effective_cluster_count,cluster_count
3d,isotonic,129,0.11028563982752061,-0.001560096606587874,0.08648678398467684,0.13595357120173965,-0.006065186485982638,0.0023547692312725537,0.474,1.0,0.34548335534865576,-0.008794759131829644,0.2853529306450361,0.4098407018324372,-0.020636223081453724,0.0028588742220675813,0.158,0.7770491803278688,0.048054241211451354,-0.0030310301063781117,0.035064458627478784,0.0954629301055123,-0.04897402180159309,0.018968552370444116,0.476,1.0,28.06239460370995,40
1d,isotonic,117,0.11505582311702428,0.0011113786725798769,0.08812148890934597,0.14620684958031752,-0.0053061782174094645,0.006933874201472839,0.696,1.0,0.35160262511788287,-0.0007320547674973255,0.27865004166413165,0.4314188929445122,-0.015967054028281268,0.01394525202891664,0.932,1.0,0.05988775690893833,-0.015753268732087322,0.04465372714720458,0.12772198082851527,-0.05888596942214905,0.018575455005284874,0.456,1.0,28.224742268041236,36
6h,isotonic,38,0.028774898542190775,-0.004277733036756586,,,,,,1.0,0.12568835837219972,-0.023332333234072467,,,,,,1.0,0.0825675431531657,-0.04480087789946588,,,,,,1.0,10.169014084507042,13
1h,isotonic,5,0.00010089412450343671,-0.00021910587549656363,,,,,,1.0,0.007807038497439129,-0.008355545975107353,,,,,,1.0,0.007756146622214428,-0.00824385337778558,,,,,,1.0,3.5714285714285716,4
close,isotonic,1,0.00018765246762995083,8.765246762995065e-05,,,,,,1.0,0.013793322132335873,0.003742986278834423,,,,,,1.0,0.013698630136986356,0.0036986301369863472,,,,,,1.0,1.0,1
30d,binned_reliability,6,0.25890689522455196,0.0794402285578853,,,,,,1.0,0.7062648923699119,0.18853754079654061,,,,,,1.0,0.45236940504060563,0.11236940504060561,,,,,,1.0,1.3846153846153846,2
14d,binned_reliability,45,0.11704566896030537,0.01333233562697203,,,,,,1.0,0.36579771523156407,0.02890235963837484,,,,,,1.0,0.1077016292551289,0.00881274036624001,,,,,,1.0,15.458015267175572,20
7d,binned_reliability,68,0.1178832375130051,0.009549413983593338,0.07360262445123711,0.15861605873107804,0.00217957824594002,0.017770877767939626,0.014,0.13548387096774195,0.3760587586725777,0.02886731449820662,0.27234817516317383,0.501871299342491,0.007169562483392026,0.05169412444265795,0.006,0.06923076923076923,0.14694922770568683,0.0194492277056868,0.11734349549831834,0.20707930437501165,-0.018257502534033628,0.035394144424080114,0.274,0.9975903614457833,26.57471264367816,33
3d,binned_reliability,129,0.11537348305046115,0.0035277466163526616,0.09591611281541908,0.1388785915397353,-0.000745158503812098,0.008061492645533951,0.092,0.6133333333333333,0.3598017736926443,0.005523659212158916,0.307208391485244,0.4173231779283957,-0.0053609842189994445,0.01698320169742459,0.322,1.0,0.049523874048446624,-0.0015613972693828415,0.04014933612616441,0.10890061478718491,-0.0278303099692778,0.01126540427953137,0.83,1.0,28.06239460370995,40
1d,binned_reliability,117,0.11629486882868098,0.002350424384236577,0.09393472864787931,0.13932545305001443,-0.0036248115340751564,0.009389175086367607,0.454,1.0,0.3562738753845919,0.0039391954992116784,0.29681413329502515,0.4213466026902431,-0.010681475322034796,0.02155948868681621,0.588,1.0,0.06773817310207872,-0.00790285253894693,0.0500897389679121,0.12434090584376306,-0.04937468861898679,0.01647193139921208,0.474,1.0,28.224742268041236,36
6h,binned_reliability,38,0.05341406922249701,0.020361437643549647,,,,,,1.0,0.19552591659423402,0.046505224987961835,,,,,,1.0,0.13680090683255364,0.009432485779922062,,,,,,1.0,10.169014084507042,13
1h,binned_reliability,5,0.003508427608575681,0.0031884276085756805,,,,,,1.0,0.051124338985272966,0.034961754512726484,,,,,,1.0,0.04926519422549405,0.033265194225494045,,,,,,1.0,3.5714285714285716,4
close,binned_reliability,1,0.009085691487491375,0.008985691487491376,,,,,,1.0,0.1001727660574934,0.09012243020399194,,,,,,1.0,0.09531889365436097,0.08531889365436096,,,,,,1.0,1.0,1
30d,hierarchical_eb,6,0.19938196052918225,0.019915293862515587,,,,,,1.0,0.5804444082973869,0.06271705672401562,,,,,,1.0,0.35116186398318794,0.011161863983187914,,,,,,1.0,1.3846153846153846,2
14d,hierarchical_eb,45,0.11064254509933832,0.006929211766004986,,,,,,1.0,0.3544194273480423,0.0175240717548531,,,,,,1.0,0.07011622912801087,-0.02877265976087802,,,,,,1.0,15.458015267175572,20
7d,hierarchical_eb,68,0.11266411258547242,0.004330289056060657,0.06408391716011957,0.16502619556530684,-0.004649585149209117,0.014012937475525535,0.37,1.0,0.3659549469810545,0.01876350280668343,0.22435106882011652,0.5138792135944115,-0.009119414100109937,0.05339906041103036,0.226,0.9405405405405407,0.10927012219634583,-0.018229877803654204,0.08034153667615845,0.18395629601539495,-0.05857399498204674,0.035133283581799214,0.46,1.0,26.57471264367816,33
3d,hierarchical_eb,129,0.11496481371437249,0.0031190772802640043,0.09243112080051544,0.13917763406318895,-0.0017960656977544748,0.008066646270450461,0.208,0.9043478260869565,0.36460240608181693,0.010324291601331526,0.3108445597106579,0.4275789922009965,-0.0006972485782971263,0.020683944912787605,0.066,0.45,0.0753046434827468,0.02421937216491734,0.06389713528602113,0.1283395883099058,-0.02213623144425236,0.05501999172208515,0.372,1.0,28.06239460370995,40
1d,hierarchical_eb,117,0.1279903184069132,0.014045873962468786,0.09679955090849963,0.15855305565333108,0.0063016108756062915,0.02168198607606949,0.0,0.0,0.3881193812427701,0.035784701357389925,0.3165771389037393,0.4687923259854838,0.021911574617579543,0.04793986192536485,0.0,0.0,0.10922204322245772,0.033581017581432074,0.09774694653380699,0.16347650944106457,-0.013927787211139776,0.06841368816845599,0.172,0.803076923076923,28.224742268041236,36
6h,hierarchical_eb,38,0.03125551999151936,-0.0017971115874279991,,,,,,1.0,0.14455442934883425,-0.004466262257437931,,,,,,1.0,0.12241928702210446,-0.004949134030527116,,,,,,1.0,10.169014084507042,13
1h,hierarchical_eb,5,0.00014615554936090055,-0.0001738444506390998,,,,,,1.0,0.010423869560552886,-0.005738714911993596,,,,,,1.0,0.010349953361855643,-0.005650046638144364,,,,,,1.0,3.5714285714285716,4
close,hierarchical_eb,1,2.1021405214156128e-05,-7.897859478584406e-05,,,,,,1.0,0.004595453541030656,-0.005454882312470794,,,,,,1.0,0.004584910600454073,-0.005415089399545936,,,,,,1.0,1.0,1
